date,l_ipn,r_asn,f
2006-08-22,5,4134,18
2006-08-22,5,4538,46
2006-08-22,5,4750,1
2006-08-22,5,6478,1
2006-08-22,5,7545,2
2006-08-22,5,8070,4
2006-08-22,5,8075,5
2006-08-22,5,8560,1
2006-08-22,5,10197,1
2006-08-22,5,12832,2
2006-08-22,5,13601,2
2006-08-22,5,13867,2
2006-08-22,5,17676,1
2006-08-22,5,19094,6
2006-08-22,5,32632,2
2006-08-23,5,209,1
2006-08-23,5,2152,4
2006-08-23,5,3269,13
2006-08-23,5,3561,1
2006-08-23,5,4134,2
2006-08-23,5,4812,3
2006-08-23,5,6197,6
2006-08-23,5,8070,7
2006-08-23,5,8075,3
2006-08-23,5,9394,1
2006-08-23,5,12271,2
2006-08-23,5,13867,2
2006-08-23,5,14501,2
2006-08-23,5,17839,4
2006-08-23,5,21844,1
2006-08-23,5,24679,1
2006-08-23,5,29339,1
2006-08-23,5,33650,26
2006-08-24,5,1659,2
2006-08-24,5,2152,3
2006-08-24,5,3561,1
2006-08-24,5,4134,2
2006-08-24,5,6057,2
2006-08-24,5,6385,2
2006-08-24,5,6395,2
2006-08-24,5,6478,2
2006-08-24,5,8070,3
2006-08-24,5,8075,6
2006-08-24,5,11172,1
2006-08-24,5,12874,6
2006-08-24,5,13867,2
2006-08-24,5,29550,2
2006-08-25,5,2152,9
2006-08-25,5,3462,2
2006-08-25,5,4765,1
2006-08-25,5,4837,3
2006-08-25,5,6197,2
2006-08-25,5,7132,2
2006-08-25,5,8070,7
2006-08-25,5,8075,5
2006-08-25,5,9316,1
2006-08-25,5,9625,2
2006-08-25,5,13609,1
2006-08-25,5,13867,2
2006-08-25,5,19875,1
2006-08-25,5,25973,1
2006-08-25,5,29550,2
2006-08-25,5,32632,1
2006-08-25,5,39570,1
2006-08-26,5,209,1
2006-08-26,5,2152,5
2006-08-26,5,2828,1
2006-08-26,5,3561,1
2006-08-26,5,4134,7
2006-08-26,5,4323,1
2006-08-26,5,4837,24
2006-08-26,5,5561,1
2006-08-26,5,7497,10
2006-08-26,5,8070,5
2006-08-26,5,8075,5
2006-08-26,5,9318,1
2006-08-26,5,9800,44
2006-08-26,5,12392,14
2006-08-26,5,13213,1
2006-08-26,5,13867,2
2006-08-26,5,15270,2
2006-08-26,5,16339,2
2006-08-27,5,702,2
2006-08-27,5,2152,6
2006-08-27,5,3301,2
2006-08-27,5,3561,1
2006-08-27,5,4134,31
2006-08-27,5,7132,2
2006-08-27,5,7497,123
2006-08-27,5,8070,4
2006-08-27,5,8075,5
2006-08-27,5,8111,1
2006-08-27,5,8151,1
2006-08-27,5,9156,3
2006-08-27,5,9318,2
2006-08-27,5,9800,36
2006-08-27,5,9829,1
2006-08-27,5,9919,1
2006-08-27,5,13867,2
2006-08-27,5,15169,4
2006-08-27,5,15270,2
2006-08-27,5,15389,1
2006-08-27,5,15635,1
2006-08-27,5,18566,2
2006-08-27,5,20940,2
2006-08-27,5,21844,1
2006-08-27,5,22781,1
2006-08-27,5,22822,4
2006-08-27,5,26085,2
2006-08-27,5,26101,5
2006-08-27,5,32229,2
2006-08-27,5,35511,1
2006-08-28,5,2152,4
2006-08-28,5,4134,3
2006-08-28,5,4766,2
2006-08-28,5,5410,3
2006-08-28,5,6478,2
2006-08-28,5,7018,36
2006-08-28,5,7132,2
2006-08-28,5,7482,1
2006-08-28,5,8070,6
2006-08-28,5,8075,4
2006-08-28,5,9316,1
2006-08-28,5,13867,2
2006-08-28,5,22653,2
2006-08-28,5,24400,1
2006-08-28,5,32387,1
2006-08-29,5,2152,5
2006-08-29,5,3561,2
2006-08-29,5,4134,2
2006-08-29,5,4766,3
2006-08-29,5,6740,2
2006-08-29,5,6830,2
2006-08-29,5,7018,1
2006-08-29,5,7132,2
2006-08-29,5,8070,3
2006-08-29,5,8075,8
2006-08-29,5,8517,1
2006-08-29,5,9141,5
2006-08-29,5,9924,1
2006-08-29,5,10271,5
2006-08-29,5,12968,4
2006-08-29,5,13867,2
2006-08-29,5,19262,2
2006-08-29,5,21229,2
2006-08-29,5,22653,2
2006-08-29,5,36784,2
2006-08-30,5,2152,5
2006-08-30,5,2828,2
2006-08-30,5,3561,1
2006-08-30,5,5786,2
2006-08-30,5,7132,1
2006-08-30,5,8070,5
2006-08-30,5,8075,5
2006-08-30,5,8560,1
2006-08-30,5,13867,2
2006-08-30,5,18566,2
2006-08-30,5,26228,1
2006-08-30,5,29075,1
2006-08-30,5,29550,4
2006-08-31,5,2152,4
2006-08-31,5,2828,1
2006-08-31,5,3561,2
2006-08-31,5,4725,1
2006-08-31,5,6197,1
2006-08-31,5,7015,2
2006-08-31,5,8070,6
2006-08-31,5,8075,3
2006-08-31,5,8315,2
2006-08-31,5,9316,2
2006-08-31,5,9800,45
2006-08-31,5,9803,1
2006-08-31,5,13867,2
2006-08-31,5,14501,1
2006-08-31,5,15802,4
2006-08-31,5,17785,2
2006-08-31,5,20853,1
2006-08-31,5,25653,1
2006-08-31,5,27645,1
2006-08-31,5,29550,4
2006-08-31,5,30058,1
2006-09-01,5,209,1
2006-09-01,5,1668,2
2006-09-01,5,2152,4
2006-09-01,5,2497,2
2006-09-01,5,3561,1
2006-09-01,5,4134,1
2006-09-01,5,4725,1
2006-09-01,5,7725,5
2006-09-01,5,8070,5
2006-09-01,5,8075,5
2006-09-01,5,9318,2
2006-09-01,5,12322,2
2006-09-01,5,13867,3
2006-09-01,5,14361,1
2006-09-01,5,23859,1
2006-09-01,5,25351,4
2006-09-02,5,2152,5
2006-09-02,5,3561,2
2006-09-02,5,4134,3
2006-09-02,5,4755,2
2006-09-02,5,4837,5
2006-09-02,5,6128,2
2006-09-02,5,6197,2
2006-09-02,5,7132,2
2006-09-02,5,8070,3
2006-09-02,5,8075,5
2006-09-02,5,9318,1
2006-09-02,5,11845,1
2006-09-02,5,13867,2
2006-09-02,5,14265,2
2006-09-02,5,15703,1
2006-09-02,5,17557,1
2006-09-02,5,18302,1
2006-09-02,5,18566,2
2006-09-02,5,18942,1
2006-09-02,5,31110,1
2006-09-03,5,209,1
2006-09-03,5,2152,4
2006-09-03,5,2828,5
2006-09-03,5,3462,1
2006-09-03,5,3561,1
2006-09-03,5,4134,1
2006-09-03,5,4279,2
2006-09-03,5,4766,2
2006-09-03,5,7497,22
2006-09-03,5,8070,6
2006-09-03,5,8075,4
2006-09-03,5,13867,2
2006-09-03,5,14745,4
2006-09-03,5,15802,1
2006-09-03,5,18942,1
2006-09-04,5,209,1
2006-09-04,5,2152,5
2006-09-04,5,2828,4
2006-09-04,5,3462,2
2006-09-04,5,3561,1
2006-09-04,5,4134,23
2006-09-04,5,4837,5
2006-09-04,5,6356,2
2006-09-04,5,7482,1
2006-09-04,5,8070,4
2006-09-04,5,8075,7
2006-09-04,5,9371,1
2006-09-04,5,13768,3
2006-09-04,5,13867,2
2006-09-05,5,4134,3
2006-09-05,5,6356,2
